@37535@墨梅,元末明初,王冕,"我家洗研池边树#朵朵花开澹墨痕#不要人誇好颜色#只留清气满乾坤#"
@53344@蒹葭,先秦,诗经,"蒹葭苍苍#白露为霜#所谓伊人#在水一方#溯洄从之#道阻且长#溯游从之#宛在水中央#蒹葭萋萋#白露未晞#所谓伊人#在水之湄#溯洄从之#道阻且跻#溯游从之#宛在水中坻#蒹葭采采#白露未已#所谓伊人#在水之涘#溯洄从之#道阻且右#溯游从之#宛在水中沚#"
@61056@离思五首 其四,唐,元稹,"曾经沧海难为水#除却巫山不是云#取次花丛懒回顾#半缘修道半缘君#"
@61080@菊花,唐,元稹,"秋丛绕舍似陶家#遍绕篱边日渐斜#不是花中偏爱菊#此花开尽更无花#"
@61377@遣悲怀三首 其二,唐,元稹,"昔日戏言身后意#今朝皆到眼前来#衣裳已施行看尽#针线犹存未忍开#尚想旧情怜婢仆#也曾因梦送钱财#诚知此恨人人有#贫贱夫妻百事哀#"
@62421@凉州词二首 其一,唐,王之涣,"黄河远上白云间#一片孤城万仞山#羌笛何须怨杨柳#春风不度玉门关#"
@62424@登鹳雀楼,唐,王之涣,"白日依山尽#黄河入海流#欲穷千里目#更上一层楼#"
@63138@从军行七首 其四,唐,王昌龄,"青海长云暗雪山#孤城遥望玉门关#黄沙百战穿金甲#不破楼兰终不还#"
@63147@出塞二首 其一,唐,王昌龄,"秦时明月汉时关#万里长征人未还#但使龙城飞将在#不教胡马度阴山#"
@63164@芙蓉楼送辛渐二首 其一,唐,王昌龄,"寒雨连天夜入吴#平明送客楚山孤#洛阳亲友如相问#一片冰心在玉壶#"
@63177@春宫曲,唐,王昌龄,"昨夜风开露井桃#未央前殿月轮高#平阳歌舞新承宠#帘外春寒赐锦袍#"
@63197@闺怨,唐,王昌龄,"闺中少妇不曾愁#春日凝妆上翠楼#忽见陌头杨柳色#悔教夫婿觅封侯#"
@63358@山中,唐,王勃,"长江悲已滞#万里念将归#况属高风晚#山山黄叶飞#"
@63363@早春野望,唐,王勃,"江旷春潮白#山长晓岫青#他乡临睨极#花柳映边亭#"
@63576@九月九日忆山东兄弟,唐,王维,"独在异乡为异客#每逢佳节倍思亲#遥知兄弟登高处#遍插茱萸少一人#"
@63599@相思,唐,王维,"红豆生南国#秋来发故枝#愿君多采撷#此物最相思#"
@63640@山居秋暝,唐,王维,"空山新雨后#天气晚来秋#明月松间照#清泉石上流#竹喧归浣女#莲动下渔舟#随意春芳歇#王孙自可留#"
